t,q1,q2
0,1.11733972066506e-05,1.11733972066506e-06
1,1.11733959597602e-05,1.11733970654258e-06
2,1.11733948477966e-05,1.11733969239076e-06
3,1.11733938732073e-05,1.11733967864257e-06
4,1.1173393006609e-05,1.11733966505484e-06
5,1.11733922233786e-05,1.11733965173061e-06
6,1.11733915089171e-05,1.11733963861071e-06
7,1.11733908531381e-05,1.11733962570375e-06
8,1.11733902454563e-05,0.000476603352948787
9,1.11733896788674e-05,0.00354637817480844
10,1.11733891473577e-05,0.00994752940126801
11,1.11733886463016e-05,0.0199624141149191
12,1.11733881714644e-05,0.0337864283836185
13,1.11733877200967e-05,0.0515375752085295
14,0.00011681925481428,0.0732809701717693
15,0.000978273995706952,0.0990457004582388
16,0.0034410993093803,0.128835864924367
17,0.00795107423584299,0.162637866068808
18,0.0147541856668409,0.200425323174653
19,0.0240150717167271,0.242162459261509
20,0.0358480006400443,0.287806494831698
21,0.0503249535432494,0.337309387030495
22,0.067481321224772,0.390619130605819
23,0.0873232030934681,0.447680761514206
24,0.109835724774665,0.508437153992726
25,0.134990980517457,0.572829668024254
26,0.162754546559125,0.640798681516617
27,0.193090117782437,0.712284025652255
28,0.225962326957219,0.787225331198212
29,0.261338091748326,0.865562286778621
30,0.299186919830957,0.947234806371107
31,0.33948056455229,1.03218310195199
32,0.38219233623947,1.12034765771939
33,0.427296283307118,1.21166910414204
34,0.474766382726265,1.30608799272642
35,0.524575824393762,1.403544475438
36,0.576696434944587,1.50397789580502
37,0.631098258231656,1.60732630162025
38,0.68774928807061,1.71352589167312
39,0.746615332115038,1.82251041100402
40,0.807659973231821,1.93421051074312
41,0.87084458690752,2.04855308968324
42,0.936128370394484,2.16546063536091
43,1.0034683413503,2.28485058260708
44,1.07281926990035,2.40663470728002
45,1.14413351694678,2.5307185723629
46,1.21736076197847,2.65700104249812
47,1.29244761477126,2.7853738816602
48,1.36933711708088,2.91572144708364
49,1.44796815431425,3.04792049045339
50,1.52827481606021,3.18184007509707
51,1.61018577340684,3.31734161540257
52,1.69362378640574,3.45427904200565
53,1.77850552043581,3.59249909351637
54,1.86474192577391,3.73184173275672
55,1.95223947374238,3.8721406827431
56,2.04090243713282,4.01322407501065
57,2.13063601047151,4.15491520060365
58,2.22134937253731,4.29703335178545
59,2.3130464874453,4.43939474072189
60,2.40602315827046,4.58181348013669
61,2.50045565416742,4.7241026098055
62,2.59620267622415,4.8660751521972
63,2.69314191676996,5.00754518040653
64,2.79115601307227,5.14832888176398
65,2.89012792852816,5.28824560113416
66,2.98993933826364,5.42711884888358
67,3.09047004055621,5.56477725976451
68,3.19159778807169,5.70105549047431
69,3.29319833574975,5.83579504530465
70,3.39514562003354,5.9688450212904
71,3.49731202547253,6.10006276596052
72,3.59956871581443,6.22931444269596
73,3.70178602148243,6.35647550079245
74,3.80383388746333,6.48143104895378
75,3.90558239619022,6.60407613266145
76,4.00690238853552,6.72431591739467
77,4.10766621076062,6.84206578103295
78,4.20774861240949,6.95725131994242
79,4.30702780406415,7.06980827422244
80,4.40538664874165,7.17968237836484
81,4.50271390561672,7.2868291441617
82,4.5989053809485,7.3912135830419
83,4.69386479521681,7.492809875454
84,4.78750418004487,7.59160099471965
85,4.87975259418316,7.68757829270082
86,4.9707822027187,7.78074105470349
87,5.06072118773678,7.87109603053128
88,5.14945602702714,7.95865694827742
89,5.23689511803203,8.04344401700097
90,5.32295700703024,8.12548342394291
91,5.40756882958826,8.20480683141696
92,5.49066520278737,8.28145087797051
93,5.5721875552733,8.3554566878687
94,5.65208373194925,8.42686939241672
