t,LowKsLowRes,LowKsMedRes,LowKsHighRes,HighKsLowRes,HighKsMedRes,HighKsHighRes
0,1.16591970852007e-06,1.13815971546006e-06,1.11386972153256e-06,1.16591970852007e-05,1.13815971546007e-05,1.11386972153257e-05
1,1.16591969350905e-06,1.1381597010933e-06,1.11386986641824e-06,1.16591956075476e-05,1.13815961258135e-05,1.1138707865597e-05
2,1.16591967851202e-06,1.13815968729588e-06,1.11387000580529e-06,1.16591941577078e-05,1.13815954797598e-05,1.11387159189839e-05
3,1.16591966354029e-06,1.13815967402351e-06,1.1138701333287e-06,1.16591927399576e-05,1.13815951450897e-05,1.11387228320131e-05
4,1.16591964860461e-06,1.13815966128583e-06,1.1138702516666e-06,1.16591913601997e-05,1.1381595064728e-05,1.11387290576529e-05
5,1.16591963369157e-06,1.13815964907186e-06,1.11387036313824e-06,1.16591900279898e-05,1.13815951923322e-05,1.11387348070604e-05
6,1.16591961880482e-06,1.13815963734974e-06,1.11387046907422e-06,1.16591887571312e-05,1.13815954909969e-05,1.11387401985334e-05
7,1.16591960394092e-06,1.13815962612323e-06,0.000382239929567085,1.16591875665463e-05,1.13815959300434e-05,1.1138745308123e-05
8,1.16591958911334e-06,1.1381596153681e-06,0.00258209859450737,1.16591864809706e-05,1.13815964850066e-05,1.11387501840423e-05
9,1.16591957430865e-06,1.13815960509548e-06,0.00748003136119483,1.1659185531954e-05,1.1381597135917e-05,1.11387548662257e-05
10,1.16591955952762e-06,1.13815959527585e-06,0.0154410929890309,1.16591847586987e-05,1.13815978662565e-05,1.11387593801592e-05
11,1.16591954478392e-06,1.13815958589986e-06,0.0265975400789852,1.16591842092332e-05,1.13815986632124e-05,1.11387637481519e-05
12,1.16591953006484e-06,1.13815957696764e-06,0.0409886214887934,1.16591839410729e-05,1.13815995152408e-05,1.11387679878673e-05
13,1.16591951537557e-06,1.13815956847023e-06,0.05862111203464,1.16591840225619e-05,1.13816004138347e-05,1.11387721108458e-05
14,1.16591950071716e-06,1.13815956038722e-06,0.079487331499829,1.16591845340202e-05,1.13816013516892e-05,1.11387761310974e-05
15,1.16591948608594e-06,1.13815955270496e-06,0.103569093951686,1.16591855685678e-05,1.13816023222883e-05,1.11387800574975e-05
16,1.1659194714966e-06,1.13815954542495e-06,0.130839573309847,1.1659187233714e-05,1.13816033211489e-05,1.11387838994442e-05
17,1.16591945693678e-06,1.13815953854013e-06,0.16126586489685,1.16591896523769e-05,1.13816043443069e-05,1.11387876608413e-05
18,1.16591944241338e-06,1.13815953204232e-06,0.194811833186149,1.16591929644829e-05,1.13816053882031e-05,1.11387913504506e-05
19,1.16591942792725e-06,1.13815952590806e-06,0.231440450708988,1.16591973280244e-05,1.13816064503059e-05,1.11387949716693e-05
20,1.16591941347693e-06,1.13815952015164e-06,0.271115268174821,1.1659202920761e-05,1.13816075291028e-05,1.11387985306099e-05
21,1.16591939905488e-06,1.13815951473718e-06,0.313801076335572,1.16592099417391e-05,1.13816086231731e-05,1.11388020303498e-05
22,1.1659193847003e-06,1.13815950968503e-06,0.359464017800261,1.16592186128474e-05,1.13816097314193e-05,1.11388054756373e-05
23,1.16591937038913e-06,1.13815950497022e-06,0.408071422878209,1.16592291782853e-05,1.13816108540638e-05,1.11388088697941e-05
24,1.16591935612431e-06,1.13815950058807e-06,0.45959157024258,1.16592419139564e-05,1.13816119913758e-05,1.11388122143044e-05
25,1.16591934191873e-06,1.13815949653003e-06,0.513993481306548,1.16592571200439e-05,1.1381613143005e-05,1.11388155128285e-05
26,1.1659193277767e-06,1.13815949278404e-06,0.571246782590785,1.16592751277756e-05,1.13816143097636e-05,1.1138818768375e-05
27,1.16591931368817e-06,1.13815948935788e-06,0.631321624322728,1.16592963009487e-05,1.13816154929934e-05,1.11388219806533e-05
